,mRNA,logFC,FDR,Delta,Age 18-40,Age >=40,start,end,diff_exp,Highlight
ENSG00000009780,ENSG00000009780,0.156911867,0.983932592,131.8765789,840.45,916.4,27725961,27763116,No,Not in ML
ENSG00000137571,ENSG00000137571,1.566128762,0.01809221,131.6331225,84.05,250.3,69667046,69834978,No,Not in ML
ENSG00000104980,ENSG00000104980,0.044585848,1,131.6151939,2951.95,2874.25,7926718,7943667,No,Not in ML
ENSG00000153714,ENSG00000153714,0.116024923,0.99231889,131.3808217,1132.35,1112.15,12775020,12823060,No,Not in ML
ENSG00000078237,ENSG00000078237,0.489844599,0.749486788,131.2293681,267.9,351.3,4307763,4360028,No,Not in ML
ENSG00000165609,ENSG00000165609,0.087918969,0.997351686,130.9157407,1489.05,1556.55,12165330,12196144,No,Not in ML
ENSG00000162894,ENSG00000162894,0.341428485,0.889311027,130.8866098,383.35,540.2,206903317,206923247,No,Not in ML
ENSG00000242125,ENSG00000242125,0.119402742,0.991909015,130.7758535,1095.25,1072.65,28505980,28510892,No,Not in ML
ENSG00000198768,ENSG00000198768,0.124398682,0.991269355,130.7243546,1050.85,1152.8,58459101,58515399,No,Not in ML
ENSG00000151746,ENSG00000151746,0.121525682,0.991811761,130.6765663,1075.3,1121.8,32106835,32383633,No,Not in ML
ENSG00000137714,ENSG00000137714,0.174670088,0.979027125,130.5833579,747.6,795.05,110429948,110464884,No,Not in ML
ENSG00000125459,ENSG00000125459,0.279597597,0.930474802,130.5161582,466.8,545.75,155610205,155614951,No,Not in ML
ENSG00000140995,ENSG00000140995,0.053453123,1,130.3026789,2437.7,2384.9,89948697,89968060,No,Not in ML
ENSG00000134242,ENSG00000134242,0.852988558,0.343250454,130.2940022,152.75,261.4,113813811,113871753,No,Not in ML
ENSG00000170374,ENSG00000170374,2.82916167,2.74984591233369e-06,130.2828949,46.05,238,53326575,53345315,UP,Not in ML
ENSG00000215712,ENSG00000215712,0.09988659,0.995739321,130.1522267,1303,1302.2,157289025,157323601,No,Not in ML
ENSG00000158042,ENSG00000158042,0.050458656,1,130.1454886,2579.25,2646.15,6680385,6683340,No,Not in ML
ENSG00000139842,ENSG00000139842,0.027071471,1,130.0310431,4803.25,4367.4,113208193,113267108,No,Not in ML
ENSG00000162383,ENSG00000162383,0.88343544,0.315737942,129.7766661,146.9,245.2,53087179,53142638,No,Not in ML
ENSG00000211941,ENSG00000211941,2.00923602,0.001286127,129.6961851,64.55,251.7,106116635,106117204,UP,Not in ML
ENSG00000170085,ENSG00000170085,0.159963253,0.982800058,129.6902073,810.75,915.15,176238367,176345991,No,Not in ML
ENSG00000122420,ENSG00000122420,0.105261507,0.994935779,129.5032326,1230.3,1375.9,78303884,78540701,No,Not in ML
ENSG00000163811,ENSG00000163811,0.062299143,1,129.4513897,2077.9,1970.15,28894667,28948219,No,Not in ML
ENSG00000133739,ENSG00000133739,0.144466531,0.987123084,129.1819718,894.2,991.3,85107215,85146080,No,Not in ML
ENSG00000166444,ENSG00000166444,0.036017293,1,129.1273973,3585.15,3655.1,8693351,8910951,No,Not in ML
ENSG00000131748,ENSG00000131748,0.041107996,1,129.1119949,3140.8,3083.25,39637090,39664201,No,Not in ML
ENSG00000103326,ENSG00000103326,0.058231257,1,129.0928735,2216.9,2257.05,527712,554636,No,Not in ML
ENSG00000170270,ENSG00000170270,0.275433524,0.932466923,129.0268345,468.45,551,93202894,93207065,No,Not in ML
ENSG00000144485,ENSG00000144485,0.297559508,0.918569251,129.0218026,433.6,484,238238267,238240662,No,Not in ML
ENSG00000101574,ENSG00000101574,0.143728382,0.987123084,128.7806304,896,927.1,2537525,2571509,No,Not in ML
ENSG00000111049,ENSG00000111049,3.895191022,1.87348804425091e-10,128.5413037,33,526.8,80716912,80719671,UP,Not in ML
ENSG00000188389,ENSG00000188389,1.049737454,0.182059877,128.5403513,122.45,249.6,241849884,241858894,No,Not in ML
ENSG00000175048,ENSG00000175048,0.105801227,0.994617743,128.5008805,1214.55,1166.15,157381133,157678157,No,Not in ML
ENSG00000111912,ENSG00000111912,0.060022975,1,128.3171163,2137.8,2056.9,125781161,125932034,No,Not in ML
ENSG00000186594,ENSG00000186594,0.114657651,0.992862944,128.2388492,1118.45,1032.45,1711493,1717174,No,Not in ML
ENSG00000152455,ENSG00000152455,0.271819128,0.935334978,128.2306735,471.75,551.45,14878820,14904315,No,Not in ML
ENSG00000167995,ENSG00000167995,0.491062289,0.747895145,128.1427043,260.95,350.8,61950063,61965515,No,Not in ML
ENSG00000133193,ENSG00000133193,0.167475242,0.980089859,128.1185601,765,823.95,73207353,73236753,No,Not in ML
ENSG00000176678,ENSG00000176678,0.425290304,0.81403061,128.076175,301.15,431.2,86576368,86583478,No,Not in ML
ENSG00000121797,ENSG00000121797,1.41890884,0.038010929,128.0565228,90.25,248.3,46407166,46412997,No,Not in ML
ENSG00000128266,ENSG00000128266,0.181189953,0.976828321,127.9654046,706.25,958.8,23070519,23125032,No,Not in ML
ENSG00000189050,ENSG00000189050,0.258038228,0.942327493,127.9482553,495.85,551.95,59952240,59964761,No,Not in ML
ENSG00000152766,ENSG00000152766,1.630100747,0.012810322,127.7183936,78.35,253.05,88819896,88851844,No,Not in ML
ENSG00000183111,ENSG00000183111,0.186575988,0.975020047,127.5526743,683.65,734.45,149551947,149634968,No,Not in ML
ENSG00000154144,ENSG00000154144,0.130402296,0.990635554,127.3639221,976.7,1015.45,124622836,124635926,No,Not in ML
ENSG00000198198,ENSG00000198198,0.059550175,1,127.3599584,2138.7,2062.45,43389882,43454247,No,Not in ML
ENSG00000235505,ENSG00000235505,0.448595296,0.791636978,127.3562046,283.9,374.8,104901549,104919073,No,Not in ML
ENSG00000276070,ENSG00000276070,1.079072625,0.16269936,127.2766162,117.95,257.15,36210924,36212878,No,Not in ML
ENSG00000198399,ENSG00000198399,0.077821506,0.999346405,127.1408855,1633.75,1541.25,24202864,24360536,No,Not in ML
ENSG00000151881,ENSG00000151881,0.211114785,0.96497005,127.0383219,601.75,642.95,43444252,43483893,No,Not in ML
ENSG00000158406,ENSG00000158406,0.510837527,0.724565019,127.0197511,248.65,288.65,26277609,26285638,No,Not in ML
ENSG00000254851,ENSG00000254851,0.622658285,0.59537913,126.8666257,203.75,195.1,117135528,117138582,No,Not in ML
ENSG00000106258,ENSG00000106258,0.452612936,0.787943523,126.6863608,279.9,388.2,99648194,99679998,No,Not in ML
ENSG00000127125,ENSG00000127125,0.064286432,1,126.6699855,1970.4,1959,42456117,42473385,No,Not in ML
ENSG00000185813,ENSG00000185813,0.084073588,0.998054314,126.6148232,1506,1454.05,81900958,81911432,No,Not in ML
ENSG00000079263,ENSG00000079263,1.069262471,0.169163295,126.6006766,118.4,258.6,230203110,230313215,No,Not in ML
ENSG00000254838,ENSG00000254838,1.056570843,0.177421561,126.5243584,119.75,237.1,6713536,6746439,No,Not in ML
ENSG00000119509,ENSG00000119509,0.13228147,0.990232276,126.5139976,956.4,988.8,100099243,100302175,No,Not in ML
ENSG00000213139,ENSG00000213139,1.05001739,0.182101221,126.4745946,120.45,254.75,186538441,186546702,No,Not in ML
ENSG00000167395,ENSG00000167395,0.06943829,1,126.4679575,1821.3,1855.65,31074422,31084196,No,Not in ML
ENSG00000089012,ENSG00000089012,2.214706,0.000315053,126.4597126,57.1,267.5,1629152,1657779,UP,Not in ML
ENSG00000260549,ENSG00000260549,0.991051825,0.223685323,126.4582129,127.6,233,56617476,56618818,No,Not in ML
ENSG00000105251,ENSG00000105251,3.058721613,3.96874030812182e-07,126.1722665,41.25,326.25,4279266,4290722,UP,Not in ML
ENSG00000154719,ENSG00000154719,0.137813794,0.988910334,126.1685282,915.5,948.1,25585656,25607517,No,Not in ML
ENSG00000128285,ENSG00000128285,1.410114288,0.039851327,126.0642174,89.4,266.55,40678750,40682814,No,Not in ML
ENSG00000081014,ENSG00000081014,0.146546331,0.987123084,125.7880433,858.35,943.3,50908672,51005895,No,Not in ML
ENSG00000138379,ENSG00000138379,0.760757609,0.439647167,125.7532328,165.3,230.55,190055700,190062729,No,Not in ML
ENSG00000150893,ENSG00000150893,1.608700691,0.014424899,125.719959,78.15,211.65,38687077,38887131,No,Not in ML
ENSG00000061656,ENSG00000061656,0.500208614,0.737460717,125.5023413,250.9,294.5,35615829,35621094,No,Not in ML
ENSG00000115602,ENSG00000115602,1.823394324,0.004220472,125.4495295,68.8,236.25,102311502,102352037,UP,Not in ML
ENSG00000099985,ENSG00000099985,1.398976329,0.041676523,125.4182279,89.65,222.75,30262829,30266851,No,Not in ML
ENSG00000140548,ENSG00000140548,0.184882342,0.975447039,125.2855193,677.65,764.35,90001324,90082206,No,Not in ML
ENSG00000122986,ENSG00000122986,0.550682317,0.682355633,125.280227,227.5,332.9,110627841,110704950,No,Not in ML
ENSG00000135476,ENSG00000135476,0.125218824,0.991269355,125.1749975,999.65,1055.35,53268299,53293638,No,Not in ML
ENSG00000165071,ENSG00000165071,0.826482915,0.370265679,125.1708375,151.45,246.25,132685007,132760712,No,Not in ML
ENSG00000147124,ENSG00000147124,0.219232707,0.961752102,125.0393742,570.35,654.7,47445879,47482946,No,Not in ML
ENSG00000113389,ENSG00000113389,0.197714788,0.97092753,124.9063173,631.75,538.15,32689070,32791724,No,Not in ML
ENSG00000100167,ENSG00000100167,0.187321573,0.975020047,124.8779267,666.65,800.75,41969475,41998221,No,Not in ML
ENSG00000174775,ENSG00000174775,0.06694793,1,124.83111,1864.6,2009.4,532242,537287,No,Not in ML
ENSG00000234883,ENSG00000234883,1.299502266,0.065726187,124.7522175,96,244.05,25561909,25575168,No,Not in ML
ENSG00000005884,ENSG00000005884,0.03298514,1,124.7250623,3781.25,2915.8,50055968,50090481,No,Not in ML
ENSG00000167723,ENSG00000167723,1.487052639,0.027306866,124.6893638,83.85,235.2,3510502,3557812,No,Not in ML
ENSG00000188428,ENSG00000188428,0.193292091,0.972638558,124.6154108,644.7,669.8,8013567,8064396,No,Not in ML
ENSG00000163687,ENSG00000163687,0.464733774,0.776044186,124.5021782,267.9,336.6,58192257,58214697,No,Not in ML
ENSG00000221867,ENSG00000221867,1.245278585,0.083248285,124.4033306,99.9,262.25,152698767,152702347,No,Not in ML
ENSG00000135249,ENSG00000135249,0.228748479,0.957679212,124.3019236,543.4,592.7,105532169,105567677,No,Not in ML
ENSG00000267013,ENSG00000267013,1.877537269,0.003017003,124.2929672,66.2,275.8,55105904,55124306,UP,Not in ML
ENSG00000157570,ENSG00000157570,0.022538238,1,124.2397822,5512.4,6264.85,44726465,44932423,No,Not in ML
ENSG00000130479,ENSG00000130479,0.05355174,1,124.1463205,2318.25,2363.65,17719242,17734513,No,Not in ML
ENSG00000196449,ENSG00000196449,0.180268572,0.976828321,124.1329386,688.6,785.9,37802945,37808208,No,Not in ML
ENSG00000156869,ENSG00000156869,0.207568345,0.966462932,123.9805727,597.3,620.45,99703970,99766635,No,Not in ML
ENSG00000105447,ENSG00000105447,0.052198873,1,123.8496569,2372.65,2390.8,48445841,48457022,No,Not in ML
ENSG00000134184,ENSG00000134184,0.545697451,0.687401213,123.8187517,226.9,370.65,109687814,109709039,No,Not in ML
ENSG00000106305,ENSG00000106305,0.18196475,0.976326733,123.4812795,678.6,737.3,6009255,6023834,No,Not in ML
ENSG00000163935,ENSG00000163935,0.168263732,0.979530224,123.3709683,733.2,765.95,52903572,53046750,No,Not in ML
ENSG00000161929,ENSG00000161929,1.736602066,0.007047898,123.2119166,70.95,238.85,5208920,5234860,No,Not in ML
ENSG00000230844,ENSG00000230844,0.540407956,0.693087499,123.077912,227.75,362.05,46545438,46548841,No,Not in ML
ENSG00000163545,ENSG00000163545,0.722205489,0.481626187,123.0638154,170.4,269.5,205302063,205321745,No,Not in ML
ENSG00000146263,ENSG00000146263,0.162025469,0.981940751,123.0421411,759.4,819.7,97142161,97283217,No,Not in ML
ENSG00000172890,ENSG00000172890,0.057631437,1,123.011421,2134.45,2202.45,71453109,71524107,No,Not in ML
ENSG00000143753,ENSG00000143753,0.024567707,1,122.9404933,5004.15,5117.5,224175756,224193441,No,Not in ML
ENSG00000167193,ENSG00000167193,0.027823072,1,122.855555,4415.6,4185.1,1420689,1463162,No,Not in ML
ENSG00000158481,ENSG00000158481,1.737534276,0.00700609,122.8436733,70.7,228.6,158289923,158294774,No,Not in ML
ENSG00000132388,ENSG00000132388,0.052465143,1,122.5743143,2336.3,2293.45,4269259,4366628,No,Not in ML
ENSG00000164221,ENSG00000164221,0.318871574,0.905922983,122.542346,384.3,472.2,115267190,115296693,No,Not in ML
ENSG00000161955,ENSG00000161955,0.617855608,0.602638448,122.1191608,197.65,291.5,7558292,7561608,No,Not in ML
ENSG00000241878,ENSG00000241878,0.085841877,0.998054314,122.0585654,1421.9,1357.85,31618491,31662432,No,Not in ML
ENSG00000069482,ENSG00000069482,2.663936331,1.07186393274088e-05,122.008284,45.8,255.5,68683779,68691175,UP,Not in ML
ENSG00000223485,ENSG00000223485,2.240218767,0.000266089,121.8679009,54.4,279.45,169157162,169162992,UP,Not in ML
ENSG00000115761,ENSG00000115761,0.099729418,0.995739321,121.8194839,1221.5,1223.15,10570754,10689987,No,Not in ML
ENSG00000205269,ENSG00000205269,0.217028277,0.962740697,121.6334977,560.45,537.7,11537749,11583524,No,Not in ML
ENSG00000184207,ENSG00000184207,0.145260241,0.987123084,121.4811399,836.3,974.15,2211593,2214840,No,Not in ML
ENSG00000121361,ENSG00000121361,0.156260939,0.984232955,121.0787887,774.85,838.35,21764955,21775600,No,Not in ML
ENSG00000155085,ENSG00000155085,0.462403124,0.777651274,121.0340178,261.75,353.8,109492856,109691217,No,Not in ML
ENSG00000127580,ENSG00000127580,0.165214915,0.980943092,120.9703604,732.2,815.6,684622,690444,No,Not in ML
ENSG00000246695,ENSG00000246695,0.16688254,0.980437556,120.8479917,724.15,769.15,25936683,25959765,No,Not in ML
ENSG00000060642,ENSG00000060642,0.165094833,0.980943092,120.8081438,731.75,808.65,26787054,26800659,No,Not in ML
ENSG00000230487,ENSG00000230487,0.303733727,0.915241695,120.506356,396.75,505.65,1570073,1589626,No,Not in ML
ENSG00000112584,ENSG00000112584,0.053751197,1,120.4779332,2241.4,2222.2,170290703,170407067,No,Not in ML
ENSG00000147118,ENSG00000147118,0.252958899,0.945083258,120.38314,475.9,581.7,47974851,48003989,No,Not in ML
ENSG00000136933,ENSG00000136933,0.077313265,0.999517261,120.1332175,1553.85,1587.85,125200542,125234161,No,Not in ML
ENSG00000102384,ENSG00000102384,0.435910624,0.803550392,120.0715814,275.45,375.75,101098218,101163681,No,Not in ML
ENSG00000081181,ENSG00000081181,1.016364711,0.204646052,120.0326723,118.1,193.55,67619920,67651708,No,Not in ML
ENSG00000188906,ENSG00000188906,0.127524896,0.991210851,119.8989073,940.2,966.35,40196744,40369285,No,Not in ML
ENSG00000175087,ENSG00000175087,0.176032248,0.978681579,119.8779608,681,737.6,26111165,26125555,No,Not in ML
ENSG00000132768,ENSG00000132768,0.113123885,0.993594301,119.8434434,1059.4,1106.8,43970000,43973369,No,Not in ML
ENSG00000142444,ENSG00000142444,0.131452697,0.990365877,119.6876809,910.5,966.7,10928811,10933535,No,Not in ML
ENSG00000163029,ENSG00000163029,0.057544947,1,119.627314,2078.85,2087.1,17663812,17800242,No,Not in ML
ENSG00000166326,ENSG00000166326,0.021678402,1,119.4913491,5512,5355.5,35662775,35818007,No,Not in ML
ENSG00000151012,ENSG00000151012,0.762036497,0.438870487,119.4492209,156.75,258.5,138164097,138242349,No,Not in ML
ENSG00000129460,ENSG00000129460,0.066543539,1,119.3425093,1793.45,1730.35,23469689,23509862,No,Not in ML
ENSG00000113552,ENSG00000113552,0.037193282,1,119.0668527,3201.3,2995.65,141991749,142013041,No,Not in ML
ENSG00000130713,ENSG00000130713,0.085073746,0.998054314,118.9330975,1398,1444.1,130693721,130704894,No,Not in ML
ENSG00000169710,ENSG00000169710,0.015864147,1,118.8454605,7491.45,6564.35,82078338,82098294,No,Not in ML
ENSG00000186063,ENSG00000186063,0.080416823,0.998699487,118.8319388,1477.7,1485,222668013,222713210,No,Not in ML
ENSG00000107819,ENSG00000107819,0.032184875,1,118.5481578,3683.35,3564.6,101031234,101041244,No,Not in ML
ENSG00000118680,ENSG00000118680,0.008168294,1,118.4904948,14506.15,13845.5,3261479,3278461,No,Not in ML
ENSG00000178401,ENSG00000178401,0.448744552,0.791602878,118.4685616,264,331.65,49346888,49357546,No,Not in ML
ENSG00000106952,ENSG00000106952,1.828300091,0.004115245,118.2910159,64.7,237.5,114893343,114930595,UP,Not in ML
ENSG00000198718,ENSG00000198718,0.116830223,0.991909015,118.290601,1012.5,1070.6,44962190,45074431,No,Not in ML
ENSG00000149679,ENSG00000149679,0.130904731,0.990635554,118.2855148,903.6,1022.45,62388632,62407285,No,Not in ML
ENSG00000223547,ENSG00000223547,0.201377768,0.968952607,118.2691633,587.3,650.85,12064731,12081565,No,Not in ML
ENSG00000166523,ENSG00000166523,1.802278408,0.00478101,118.2294636,65.6,243.25,8533305,8540905,UP,Not in ML
ENSG00000170632,ENSG00000170632,0.091571096,0.996700732,118.0488786,1289.15,1304.75,103074881,103099759,No,Not in ML
ENSG00000109184,ENSG00000109184,0.044181606,1,117.9295423,2669.2,2343.8,51843000,51916837,No,Not in ML
ENSG00000146276,ENSG00000146276,2.841545321,2.53201343451457e-06,117.6399763,41.4,322.5,89177504,89231278,UP,Not in ML
ENSG00000108771,ENSG00000108771,0.129744082,0.99080933,117.6194975,906.55,1034.15,42101404,42112714,No,Not in ML
ENSG00000153015,ENSG00000153015,0.070289125,1,117.5761336,1672.75,1715.35,64768930,65018750,No,Not in ML
ENSG00000178951,ENSG00000178951,0.043454496,1,117.555274,2705.25,2636,4043303,4066899,No,Not in ML
ENSG00000261594,ENSG00000261594,0.674197994,0.535917411,117.5127104,174.3,246.25,75240774,75243704,No,Not in ML
ENSG00000100354,ENSG00000100354,0.049937238,1,117.2002002,2346.95,2281.25,40044817,40335808,No,Not in ML
ENSG00000250786,ENSG00000250786,0.134098238,0.989883556,117.1214008,873.4,844.4,9546200,9550609,No,Not in ML
ENSG00000135426,ENSG00000135426,1.33543585,0.055932569,117.0509522,87.65,222.4,54948015,54984762,No,Not in ML
ENSG00000077454,ENSG00000077454,0.303609083,0.915241695,117.0109408,385.4,452.8,100574011,100586129,No,Not in ML
ENSG00000137522,ENSG00000137522,0.093070551,0.996544809,116.9757219,1256.85,1298,71929018,71997597,No,Not in ML
ENSG00000085978,ENSG00000085978,0.083722965,0.998054314,116.8186529,1395.3,1459.35,233210051,233295674,No,Not in ML
ENSG00000259134,ENSG00000259134,2.506348865,3.72309724825416e-05,116.7958571,46.6,238.1,95326528,95507865,UP,Not in ML
ENSG00000129696,ENSG00000129696,0.283366814,0.928076957,116.7612957,412.05,491,33473386,33513185,No,Not in ML
ENSG00000109674,ENSG00000109674,0.47508475,0.764750925,116.7283231,245.7,371,177309874,177362936,No,Not in ML
ENSG00000158517,ENSG00000158517,1.400972211,0.041675691,116.6309366,83.25,256.2,74773962,74789376,No,Not in ML
ENSG00000132773,ENSG00000132773,0.177531405,0.977892861,116.4694779,656.05,737.65,45340052,45343973,No,Not in ML
ENSG00000123810,ENSG00000123810,0.55672603,0.675408016,116.3000676,208.9,292.15,41354417,41364165,No,Not in ML
ENSG00000178226,ENSG00000178226,0.854104762,0.343111804,116.2436581,136.1,252.75,31138926,31150083,No,Not in ML
ENSG00000164294,ENSG00000164294,0.020571668,1,116.2299238,5650,5631.95,55160167,55167297,No,Not in ML
ENSG00000132740,ENSG00000132740,0.100875151,0.995682979,116.157736,1151.5,1204.2,68903863,68940602,No,Not in ML
ENSG00000177337,ENSG00000177337,0.482052529,0.757792488,116.0541463,240.75,321.85,3593732,3598363,No,Not in ML
ENSG00000104714,ENSG00000104714,0.178394583,0.977620954,115.8940409,649.65,756.65,614746,738106,No,Not in ML
ENSG00000167130,ENSG00000167130,0.120007999,0.991909015,115.7357138,964.4,1020.9,129081111,129090438,No,Not in ML
ENSG00000138670,ENSG00000138670,0.241619372,0.951678985,115.7356792,479,567.2,81426393,82044244,No,Not in ML
ENSG00000110871,ENSG00000110871,0.075789529,0.999743765,115.6131372,1525.45,1560.6,120503279,120534434,No,Not in ML
ENSG00000213866,ENSG00000213866,0.48789408,0.751625098,115.5333182,236.8,317.75,35971344,35972318,No,Not in ML
ENSG00000140479,ENSG00000140479,0.214259369,0.963511363,115.5179388,539.15,562.55,101289784,101525202,No,Not in ML
ENSG00000165259,ENSG00000165259,0.451655137,0.788886735,115.4882185,255.7,329.9,84317874,84502479,No,Not in ML
ENSG00000078081,ENSG00000078081,0.548241541,0.684256046,115.4596685,210.6,305.75,183122215,183163839,No,Not in ML
ENSG00000166002,ENSG00000166002,0.148851822,0.986886419,115.4048174,775.3,1038.35,93478472,93543391,No,Not in ML
ENSG00000253161,ENSG00000253161,1.061671275,0.174666082,115.1913333,108.5,242.85,37421341,37554183,No,Not in ML
ENSG00000096070,ENSG00000096070,0.060029702,1,115.130966,1917.9,1831.95,36196744,36232790,No,Not in ML
ENSG00000162961,ENSG00000162961,0.07673212,0.999668078,115.1288722,1500.4,1517.9,31867809,32039805,No,Not in ML
ENSG00000115808,ENSG00000115808,0.059107523,1,115.1237231,1947.7,1868.8,36837698,36966536,No,Not in ML
ENSG00000162385,ENSG00000162385,0.065237113,1,115.0162925,1763.05,1865.1,53226900,53238518,No,Not in ML
ENSG00000134830,ENSG00000134830,0.61791798,0.602540909,114.9945361,186.1,283.85,47332175,47347329,No,Not in ML
ENSG00000163606,ENSG00000163606,1.661915082,0.010851742,114.9214279,69.15,235.45,112921205,112975103,No,Not in ML
ENSG00000173327,ENSG00000173327,0.034360327,1,114.8408035,3342.25,3529.35,65597756,65615382,No,Not in ML
ENSG00000287839,ENSG00000287839,1.611715714,0.014272618,114.8347446,71.25,212.9,155626757,155637604,No,Not in ML
ENSG00000111196,ENSG00000111196,0.139457475,0.988379891,114.8223118,823.35,903.05,10604193,10613609,No,Not in ML
ENSG00000219545,ENSG00000219545,0.177850566,0.977782355,114.5357648,644,668.95,7640711,7968020,No,Not in ML
ENSG00000229644,ENSG00000229644,1.802467013,0.004733529,114.4566553,63.5,201,36521721,36524234,UP,Not in ML
ENSG00000180098,ENSG00000180098,0.108908142,0.994617743,114.4352302,1050.75,1161.1,28553085,28578545,No,Not in ML
ENSG00000251442,ENSG00000251442,0.997316308,0.219726338,114.2425831,114.55,225.4,78638780,78683185,No,Not in ML
ENSG00000274265,ENSG00000274265,0.666322668,0.545458854,114.0744407,171.2,256.05,149175748,149259987,No,Not in ML
ENSG00000140274,ENSG00000140274,0.688395243,0.52026685,113.9294128,165.5,253.75,45114326,45118421,No,Not in ML
ENSG00000167842,ENSG00000167842,0.118522217,0.991909015,113.7694765,959.9,1035.1,5486285,5490814,No,Not in ML
ENSG00000101082,ENSG00000101082,1.676062154,0.010010507,113.7208171,67.85,217.75,36612318,36646196,No,Not in ML
ENSG00000101624,ENSG00000101624,0.368395168,0.866628577,113.6314894,308.45,372.5,12661833,12702777,No,Not in ML
ENSG00000197046,ENSG00000197046,0.657979392,0.555312668,113.534344,172.55,225.6,45825675,45844094,No,Not in ML
ENSG00000141179,ENSG00000141179,0.136419796,0.989368325,113.4944491,831.95,960.55,55751051,55842830,No,Not in ML
ENSG00000182831,ENSG00000182831,0.038654119,1,113.2295101,2929.3,2893,9091644,9121635,No,Not in ML
ENSG00000185651,ENSG00000185651,0.02143489,1,112.982235,5270.95,5290,21549447,21624034,No,Not in ML
ENSG00000119979,ENSG00000119979,0.198798551,0.970373876,112.9672769,568.25,602.85,119104086,119137984,No,Not in ML
ENSG00000187239,ENSG00000187239,0.024326124,1,112.9595724,4643.55,5098.25,129887187,130043194,No,Not in ML
ENSG00000214100,ENSG00000214100,1.587374814,0.016222465,112.941718,71.15,214.2,129922863,129934317,No,Not in ML
ENSG00000224373,ENSG00000224373,0.676460179,0.533924998,112.8673809,166.85,271.3,106627249,106627825,No,Not in ML
ENSG00000241015,ENSG00000241015,0.595782491,0.629115472,112.6624691,189.1,264.1,53431984,53444670,No,Not in ML
ENSG00000215386,ENSG00000215386,0.129945061,0.990807075,112.5779038,866.35,933.5,15928296,16645467,No,Not in ML
ENSG00000132323,ENSG00000132323,0.068452969,1,112.5332584,1643.95,1637.25,238170402,238203708,No,Not in ML
ENSG00000272848,ENSG00000272848,0.433961123,0.805592193,112.3959308,259,396.45,169426420,169452475,No,Not in ML
ENSG00000125319,ENSG00000125319,0.310774945,0.91046416,112.3917589,361.65,451.4,44141906,44162476,No,Not in ML
ENSG00000221990,ENSG00000221990,0.483428947,0.756705506,112.3730587,232.45,302.05,441498,443160,No,Not in ML
ENSG00000136021,ENSG00000136021,0.046397808,1,112.3314135,2421.05,2258.6,100267140,100341715,No,Not in ML
ENSG00000174564,ENSG00000174564,0.513951207,0.721342494,112.2983387,218.5,295.1,136946230,137011085,No,Not in ML
ENSG00000086827,ENSG00000086827,0.11476443,0.992862944,112.2912567,978.45,1045.45,113733187,113773735,No,Not in ML
ENSG00000125482,ENSG00000125482,0.124266157,0.99127103,112.280686,903.55,960.95,132375548,132406851,No,Not in ML
ENSG00000178177,ENSG00000178177,0.170116206,0.979530224,112.1576145,659.3,733.2,17841199,18021876,No,Not in ML
ENSG00000227954,ENSG00000227954,1.787746171,0.00515232,112.0916849,62.7,187.4,133502252,133892802,No,Not in ML
ENSG00000015475,ENSG00000015475,0.086324324,0.997749042,112.0878189,1298.45,1297.05,17734138,17774770,No,Not in ML
ENSG00000177565,ENSG00000177565,0.019190743,1,112.0345965,5837.95,5634.45,177019340,177228000,No,Not in ML
ENSG00000179967,ENSG00000179967,0.177734241,0.977892861,111.9725717,630,709.6,139114930,139115374,No,Not in ML
ENSG00000185480,ENSG00000185480,0.408655816,0.830230888,111.9308281,273.9,362.45,102120183,102197520,No,Not in ML
ENSG00000073111,ENSG00000073111,0.052369122,1,111.7949826,2134.75,2344.1,127598410,127622436,No,Not in ML
ENSG00000148082,ENSG00000148082,0.268848769,0.936281524,111.6797786,415.4,457.7,89005771,89178818,No,Not in ML
ENSG00000163106,ENSG00000163106,0.954330059,0.255221404,111.5134674,116.85,268.85,94298535,94342876,No,Not in ML
ENSG00000150048,ENSG00000150048,0.395963889,0.841632273,111.3648439,281.25,349.3,10069554,10111627,No,Not in ML
ENSG00000126353,ENSG00000126353,1.806983132,0.004674146,111.310161,61.6,231.05,40553769,40565472,UP,Not in ML
ENSG00000188917,ENSG00000188917,0.145434547,0.987123084,111.2937872,765.25,785.95,101009346,101052116,No,Not in ML
ENSG00000205363,ENSG00000205363,0.155995475,0.984232955,111.2793718,713.35,751.35,73735431,73752747,No,Not in ML
ENSG00000100739,ENSG00000100739,1.113131071,0.143163454,111.2574505,99.95,204.35,96256210,96268967,No,Not in ML
ENSG00000073067,ENSG00000073067,0.842817063,0.353503046,111.2097114,131.95,209.15,983181,989640,No,Not in ML
ENSG00000142856,ENSG00000142856,0.135143655,0.989660297,111.1894419,822.75,910.65,63440770,63593721,No,Not in ML
ENSG00000170855,ENSG00000170855,0.077369444,0.999475275,111.0483628,1435.3,1479.85,120443964,120446384,No,Not in ML
ENSG00000218175,ENSG00000218175,0.744002283,0.458601575,110.9307404,149.1,228.15,176200908,176201252,No,Not in ML
ENSG00000183918,ENSG00000183918,1.444753998,0.03362114,110.8126316,76.7,208.85,124227868,124373197,No,Not in ML
ENSG00000151883,ENSG00000151883,0.115773805,0.99231889,110.7492223,956.6,1028.1,50665899,50846519,No,Not in ML
ENSG00000176148,ENSG00000176148,0.164071966,0.981221894,110.73217,674.9,756.5,33039417,33105943,No,Not in ML
