"","mRNA","logFC","FDR","Delta","Age 18-40","Age >=40","start","end","diff_exp"
"ENSG00000178473","ENSG00000178473",2.54279419248589,2.93626241179746e-05,12.7139709624295,5,20.25,5364966,5374692,"UP"
"ENSG00000171201","ENSG00000171201",4.44796689888776,1.95847929786685e-12,12.6767056618301,2.85,48.3,70370093,70390244,"UP"
"ENSG00000049247","ENSG00000049247",2.01828238057224,0.00171276849410934,12.5133507595479,6.2,24.9,7843083,7853512,"UP"
"ENSG00000213424","ENSG00000213424",1.9460665330599,0.00255384495884378,12.4548258115833,6.4,23.55,40654665,40665181,"UP"
"ENSG00000166006","ENSG00000166006",3.13318777098216,3.89924155922074e-07,12.3760916953795,3.95,26.7,75040077,75209839,"UP"
"ENSG00000227579","ENSG00000227579",3.17226555415197,4.08374592760005e-07,12.3718356611927,3.9,27.35,177392667,177920152,"UP"
"ENSG00000222035","ENSG00000222035",2.15949051910692,0.00084473930361709,12.3090959589094,5.7,26.4,202075410,202117062,"UP"
"ENSG00000102239","ENSG00000102239",6.24754749660834,3.83706053133923e-20,12.1827176183863,1.95,108.25,136487947,136493780,"UP"
"ENSG00000287642","ENSG00000287642",2.67635669245694,1.96603941480561e-05,12.1774229506791,4.55,31.95,152934516,152936761,"UP"
"ENSG00000285681","ENSG00000285681",3.80386289465785,1.22392146112022e-09,12.1723612629051,3.2,45.9,60329190,60540205,"UP"
"ENSG00000196711","ENSG00000196711",2.27008975292367,0.00032113078222668,12.1449801781417,5.35,23.05,52534037,52565430,"UP"
"ENSG00000068985","ENSG00000068985",1.95056318369102,0.00285679330461004,12.0934917388843,6.2,29.5,49687447,49695984,"UP"
"ENSG00000137757","ENSG00000137757",2.10211596457787,0.00114278222686277,12.0871667963228,5.75,27,104994235,105023168,"UP"
"ENSG00000282418","ENSG00000282418",2.68742033034783,1.62369656143419e-05,11.9590204700479,4.45,29.75,225465021,225473837,"UP"
"ENSG00000241186","ENSG00000241186",2.5714694686772,4.74671454708387e-05,11.7001860824812,4.55,36.7,46574534,46582457,"UP"
"ENSG00000285095","ENSG00000285095",2.04171611878858,0.00141175097797318,11.6377818770949,5.7,21,32470288,32745567,"UP"
"ENSG00000275226","ENSG00000275226",2.15079449404546,0.000715522481045778,11.6142902678455,5.4,28.1,37534940,37551536,"UP"
"ENSG00000235205","ENSG00000235205",2.36822736130663,0.000240025493247383,11.6043140704025,4.9,27.25,23243520,23247184,"UP"
"ENSG00000132972","ENSG00000132972",4.21754587421861,5.34671825711767e-11,11.3873738603903,2.7,57.6,24764169,24879921,"UP"
"ENSG00000189430","ENSG00000189430",2.21325175350956,0.000503843094200956,11.2875839428987,5.1,20.35,54906148,54916140,"UP"
"ENSG00000286332","ENSG00000286332",4.29080255074033,1.37140889223204e-11,11.1560866319248,2.6,49.25,76915615,76919785,"UP"
"ENSG00000073754","ENSG00000073754",3.09312158943789,7.18820908343986e-07,11.1352377219764,3.6,28.8,157830911,157898256,"UP"
"ENSG00000268902","ENSG00000268902",3.41148202067423,4.70351909086975e-08,11.0873165671913,3.25,36.45,152708261,152714549,"UP"
"ENSG00000185674","ENSG00000185674",2.55100577466791,5.56620126975775e-05,10.969324831072,4.3,25,99242246,99255282,"UP"
"ENSG00000117322","ENSG00000117322",3.20478610732897,2.68960000117319e-07,10.8962727649185,3.4,27.65,207454230,207489895,"UP"
"ENSG00000189064","ENSG00000189064",5.70870065992527,2.16377966388713e-17,10.846531253858,1.9,127.3,49589529,49596827,"UP"
"ENSG00000236975","ENSG00000236975",2.63701208363171,2.80339287463613e-05,10.6798989387084,4.05,23.3,229087114,229205428,"UP"
"ENSG00000233860","ENSG00000233860",2.0695970846228,0.00161118363206156,10.6584249858074,5.15,26.75,76708853,76802426,"UP"
"ENSG00000250038","ENSG00000250038",3.22422128447271,2.55032041482271e-07,10.4787191745363,3.25,28.35,28343862,28402936,"UP"
"ENSG00000163202","ENSG00000163202",6.54856957258864,1.95290995566652e-21,10.4777113161418,1.6,152.35,152579381,152580516,"UP"
"ENSG00000253988","ENSG00000253988",2.02941477486282,0.00177651288439025,10.4514860905435,5.15,21,138063268,138073240,"UP"
"ENSG00000231966","ENSG00000231966",2.61007092442422,3.38664082056547e-05,10.3097801514757,3.95,23.35,179829609,179836124,"UP"
"ENSG00000189013","ENSG00000189013",2.76836254752855,1.19483325990631e-05,10.1045232984792,3.65,24.7,54803535,54814517,"UP"
"ENSG00000188883","ENSG00000188883",2.42810716076095,0.000115503086570506,10.0766447171579,4.15,18.55,139452690,139483673,"UP"
"ENSG00000223811","ENSG00000223811",1.93655205018496,0.00316862857234629,10.0700706609618,5.2,16.1,113357003,113367944,"UP"
"ENSG00000166527","ENSG00000166527",1.95511099822747,0.0026467782478369,9.97106609096011,5.1,19.85,8509475,8522366,"UP"
"ENSG00000211716","ENSG00000211716",3.47637685120001,3.86096177739472e-08,9.90767402592004,2.85,36.2,142391891,142392412,"UP"
"ENSG00000178602","ENSG00000178602",2.47172704264646,0.00011623591590158,9.88690817058582,4,20,240139026,240144562,"UP"
"ENSG00000214107","ENSG00000214107",5.6470683451673,4.30377561318343e-17,9.88236960404278,1.75,111.05,30243730,30252040,"UP"
"ENSG00000170289","ENSG00000170289",2.1794625723345,0.000717368652600626,9.80758157550524,4.5,23,86553977,86743675,"UP"
"ENSG00000196350","ENSG00000196350",2.91269801194659,3.23561153508618e-06,9.75753834002109,3.35,21.85,22286441,22317176,"UP"
"ENSG00000205777","ENSG00000205777",6.27821931553284,8.1915176000376e-20,9.7312399390759,1.55,136.7,49599025,49608536,"UP"
"ENSG00000245954","ENSG00000245954",1.87113213472745,0.00499012320220627,9.72988710058273,5.2,19.6,152090459,152104720,"UP"
"ENSG00000229028","ENSG00000229028",2.30352759692156,0.000363718040507079,9.67481590707054,4.2,26.15,40717235,40721932,"UP"
"ENSG00000270225","ENSG00000270225",2.29815038991027,0.00028311908458289,9.65223163762314,4.2,13.05,100052859,100053539,"UP"
"ENSG00000187997","ENSG00000187997",3.38899038349778,7.49266063338244e-08,9.48917307379377,2.8,31.45,78146353,78166177,"UP"
"ENSG00000261192","ENSG00000261192",2.13166494344302,0.00102737937013874,9.48590899832145,4.45,16.65,57045478,57046797,"UP"
"ENSG00000204044","ENSG00000204044",2.44566014196105,0.000109789376376621,9.29350853945198,3.8,20.85,46013500,46022073,"UP"
"ENSG00000111732","ENSG00000111732",1.91371371864057,0.00411790243203867,9.28151153540678,4.85,21.45,8602170,8612867,"UP"
"ENSG00000211777","ENSG00000211777",2.43096956347772,0.000138788821358609,9.23768434121533,3.8,25.05,21723713,21724321,"UP"
"ENSG00000171209","ENSG00000171209",2.74299126412039,1.35821407175223e-05,9.18902073480331,3.35,16.7,70242588,70251428,"UP"
"ENSG00000226043","ENSG00000226043",2.32229515405658,0.000273979109876418,9.17306585852348,3.95,18.5,22209920,22420819,"UP"
"ENSG00000189127","ENSG00000189127",3.17751187808653,3.62364395085054e-07,9.0559088525466,2.85,21.35,80556755,80570280,"UP"
"ENSG00000214688","ENSG00000214688",2.40070896188134,0.00017502914643166,9.00265860705504,3.75,17.5,71711701,71737824,"UP"
"ENSG00000251459","ENSG00000251459",3.71134222224082,1.26352187962826e-08,8.72165422226594,2.35,23.3,57490808,57495844,"UP"
"ENSG00000248964","ENSG00000248964",2.20333718345904,0.000663099730018704,8.70318187466319,3.95,18.25,29815004,29854543,"UP"
"ENSG00000239819","ENSG00000239819",2.03412229261034,0.00212158743468448,8.4416075143329,4.15,17.05,90220727,90221384,"UP"
"ENSG00000186442","ENSG00000186442",2.47653712943273,0.000102274996277874,8.172572527128,3.3,19.2,52789685,52796117,"UP"
"ENSG00000159398","ENSG00000159398",2.66600993970208,3.14780737204781e-05,8.13133031609136,3.05,19.6,55846154,55956031,"UP"
"ENSG00000171658","ENSG00000171658",2.04794738608106,0.00223701719408273,7.88459743641208,3.85,17.6,185959943,185980872,"UP"
"ENSG00000250266","ENSG00000250266",3.40816161514202,6.46196075324753e-08,7.83877171482665,2.3,21.75,170226535,170283723,"UP"
"ENSG00000287872","ENSG00000287872",2.36236410842317,0.000213372244643235,7.79580155779647,3.3,16.8,82113384,82119570,"UP"
"ENSG00000235641","ENSG00000235641",2.4747889713578,0.000134138672428853,7.79558525977708,3.15,19.15,91159573,91166272,"UP"
"ENSG00000105388","ENSG00000105388",2.78160155178372,9.30383907661477e-06,7.64940426740524,2.75,18.25,41708585,41730433,"UP"
"ENSG00000254887","ENSG00000254887",1.96991511286229,0.00296945679275616,7.58417318451983,3.85,15.5,42132555,42137099,"UP"
"ENSG00000287093","ENSG00000287093",3.52294587082424,1.88040922191851e-08,7.3981863287309,2.1,27.5,24778444,24795496,"UP"
"ENSG00000255084","ENSG00000255084",2.20792006560405,0.000757934138333097,7.39653221977356,3.35,18.3,78533176,78558565,"UP"
"ENSG00000125998","ENSG00000125998",2.00951819991585,0.00207372512543879,7.33474142969285,3.65,12.45,35285731,35292425,"UP"
"ENSG00000222022","ENSG00000222022",2.84967388033414,1.15782207211434e-05,7.26666839485205,2.55,18.05,237421420,237425276,"UP"
"ENSG00000261292","ENSG00000261292",2.04289920790846,0.00268258145964728,7.25229218807502,3.55,17.75,97759523,97761532,"UP"
"ENSG00000257545","ENSG00000257545",3.44640977922056,6.00045131370327e-08,7.23746053636317,2.1,22.7,106495958,106774926,"UP"
"ENSG00000237870","ENSG00000237870",2.06749261598002,0.0016456101594834,7.23622415593007,3.5,12.85,116275606,116286734,"UP"
"ENSG00000188269","ENSG00000188269",2.8629138019628,6.24260007588171e-06,7.15728450490701,2.5,15.1,14826241,14835185,"UP"
"ENSG00000285964","ENSG00000285964",5.1011195554363,1.54319262098955e-14,7.14156737761081,1.4,50.95,94311138,94347063,"UP"
"ENSG00000146666","ENSG00000146666",2.56959037936999,5.16282744988162e-05,7.06637354326746,2.75,15.25,47761476,47766772,"UP"
"ENSG00000108849","ENSG00000108849",2.55827178007006,6.24573781696954e-05,7.03524739519267,2.75,16.55,43940804,43942476,"UP"
"ENSG00000256234","ENSG00000256234",3.04890099539892,1.96872691196108e-06,7.01247228941751,2.3,18,26211164,26335856,"UP"
"ENSG00000181433","ENSG00000181433",3.85565619686924,1.16115345773485e-09,6.94018115436463,1.8,28.5,135889205,135913061,"UP"
"ENSG00000143954","ENSG00000143954",2.69634510803239,2.63671747925137e-05,6.87568002548259,2.55,16,79025686,79028505,"UP"
"ENSG00000222032","ENSG00000222032",3.81474775532368,3.0365561262529e-09,6.86654595958263,1.8,25.45,237428920,237434822,"UP"
"ENSG00000236054","ENSG00000236054",2.04307522950638,0.0025174226729532,6.84430201884637,3.35,15.65,32583300,32584204,"UP"
"ENSG00000286410","ENSG00000286410",2.17259902888929,0.000895069618245978,6.84368694100125,3.15,11.55,104858838,104871765,"UP"
"ENSG00000109272","ENSG00000109272",3.14989541423179,6.65238700730991e-07,6.77227514059835,2.15,18.35,73853296,73854483,"UP"
"ENSG00000225255","ENSG00000225255",2.36703275153086,0.000270267572636974,6.74604334186296,2.85,11.45,15746630,15778297,"UP"
"ENSG00000240403","ENSG00000240403",3.04663919062587,1.43580717449232e-06,6.70260621937691,2.2,15.3,54850443,54867207,"UP"
"ENSG00000205057","ENSG00000205057",3.26648775645264,3.29105702970387e-07,6.69629990072791,2.05,15.5,92420094,92428148,"UP"
"ENSG00000236385","ENSG00000236385",3.18858969770465,6.25884758681812e-07,6.69603836517977,2.1,15.5,177621382,177628287,"UP"
"ENSG00000274209","ENSG00000274209",2.38792504318018,0.000171954074193452,6.68619012090451,2.8,12.3,46286345,46330207,"UP"
"ENSG00000227195","ENSG00000227195",4.31336887677757,5.43286878968023e-11,6.68572175900524,1.55,32.9,26167817,26251546,"UP"
"ENSG00000203971","ENSG00000203971",3.41138847243134,1.14188387303045e-07,6.65220752124112,1.95,28.2,57957126,57960176,"UP"
"ENSG00000218565","ENSG00000218565",2.11067013670444,0.00140026837661712,6.54307742378375,3.1,13.85,139338018,139339580,"UP"
"ENSG00000099715","ENSG00000099715",2.07454555736925,0.00145343868722317,6.53481850571313,3.15,12.5,5000226,5742224,"UP"
"ENSG00000168631","ENSG00000168631",2.18252540212268,0.000924351901377791,6.4384499362619,2.95,13.05,30934523,30954221,"UP"
"ENSG00000265174","ENSG00000265174",2.29409432302018,0.000326962959792993,6.42346410445649,2.8,11.75,6557822,6558654,"UP"
"ENSG00000221852","ENSG00000221852",4.72563252700465,5.29274165558487e-13,6.37960391145628,1.35,22.05,41026026,41027208,"UP"
"ENSG00000110484","ENSG00000110484",5.26575096119053,1.5086245439781e-15,6.31890115342863,1.2,41.5,62270158,62273160,"UP"
"ENSG00000266602","ENSG00000266602",2.92488423907797,5.5587369119731e-06,6.28850111401763,2.15,14.8,1509022,2049510,"UP"
"ENSG00000249797","ENSG00000249797",3.33323200174106,2.05500441752336e-07,6.16647920322096,1.85,17.3,117730515,118266267,"UP"
"ENSG00000175535","ENSG00000175535",2.08219823312163,0.0015838641794372,6.14248478770881,2.95,12.45,116545931,116567855,"UP"
"ENSG00000169059","ENSG00000169059",4.08193522033736,3.60043951479026e-10,6.12290283050604,1.5,30.75,6533618,6535118,"UP"
"ENSG00000261319","ENSG00000261319",3.04321608967156,2.18389383100297e-06,6.08643217934313,2,13.7,8298492,8299772,"UP"
"ENSG00000182798","ENSG00000182798",1.97444696461771,0.00294703027501864,6.02206324208403,3.05,13.4,16167481,16171464,"UP"
"ENSG00000204528","ENSG00000204528",2.57555597300439,7.919485092889e-05,5.92377873791009,2.3,12.05,31173735,31177899,"UP"
"ENSG00000150750","ENSG00000150750",2.17210163240106,0.000920133941423519,5.86467440748287,2.7,11.4,111245726,111286401,"UP"
"ENSG00000227066","ENSG00000227066",2.14362199700874,0.00177313276364908,5.78777939192361,2.7,13.5,20154171,20160568,"UP"
"ENSG00000273365","ENSG00000273365",2.06175043787684,0.00239819822113492,5.77290122605514,2.8,11.15,165706556,165707284,"UP"
"ENSG00000187905","ENSG00000187905",3.48057129629107,6.44490777236098e-08,5.74294263888026,1.65,18.25,21045960,21064168,"UP"
"ENSG00000157330","ENSG00000157330",5.44120762958737,7.40264166379656e-16,5.71326801106674,1.05,47.1,12746200,12763699,"UP"
"ENSG00000213028","ENSG00000213028",2.37228748985943,0.000317437118284361,5.69348997566263,2.4,13.55,229688999,229689904,"UP"
"ENSG00000101323","ENSG00000101323",6.66768142101745,5.77822283430136e-21,5.66752920786483,0.85,100.45,7882985,7940458,"UP"
"ENSG00000233395","ENSG00000233395",2.56568027283927,7.8465887290143e-05,5.64449660024639,2.2,11.85,43909244,43981102,"UP"
"ENSG00000240350","ENSG00000240350",1.96887360028406,0.00350980683218973,5.61128976080958,2.85,11.25,111491272,111570974,"UP"
"ENSG00000145384","ENSG00000145384",2.94989708298558,5.27182846127118e-06,5.60480445767261,1.9,13.75,119317250,119322138,"UP"
"ENSG00000261036","ENSG00000261036",1.89501217312581,0.00451355721990078,5.59028591072113,2.95,9.75,120345907,120410969,"UP"
"ENSG00000250509","ENSG00000250509",2.76469013909724,2.4133723541738e-05,5.52938027819449,2,11.9,180416949,180443240,"UP"
"ENSG00000168748","ENSG00000168748",3.63122352934296,2.08110863748295e-08,5.44683529401445,1.5,16.6,66844414,66854153,"UP"
"ENSG00000285894","ENSG00000285894",4.35435610952721,2.80977058363103e-11,5.44294513690901,1.25,23.9,188013642,188144768,"UP"
"ENSG00000184735","ENSG00000184735",4.33405951405564,5.43286878968023e-11,5.41757439256955,1.25,24.45,22999960,23003589,"UP"
"ENSG00000250129","ENSG00000250129",2.51865131920374,0.000119585724475745,5.41510033628804,2.15,11.75,131053317,131072339,"UP"
"ENSG00000258343","ENSG00000258343",2.54090766821997,0.000119982681485849,5.33590610326193,2.1,13.75,95791733,95858839,"UP"
"ENSG00000251026","ENSG00000251026",2.86388082972115,5.95150008847164e-06,5.29817953498413,1.85,12.15,104079847,104406121,"UP"
"ENSG00000250331","ENSG00000250331",2.8607080336272,7.62120606792803e-06,5.29230986221032,1.85,13.15,97504663,97690180,"UP"
"ENSG00000160182","ENSG00000160182",4.53905908115608,2.68982553743469e-12,5.21991794332949,1.15,24.8,42362282,42366535,"UP"
"ENSG00000287397","ENSG00000287397",7.45127980332393,1.05911745157321e-24,5.21589586232675,0.7,118.1,101452917,101454245,"UP"
"ENSG00000237457","ENSG00000237457",1.99720046295943,0.00327683335576386,5.19272120369452,2.6,10.4,190478551,190480735,"UP"
"ENSG00000211790","ENSG00000211790",2.25702038946844,0.000530328053926062,5.19114689577742,2.3,10.7,21894433,21895030,"UP"
"ENSG00000125363","ENSG00000125363",3.8438046060124,2.83231938755487e-09,5.18913621811673,1.35,19.65,11293413,11300761,"UP"
"ENSG00000172023","ENSG00000172023",2.4394778559129,0.00018440303894389,5.12290349741709,2.1,12.15,79085023,79088019,"UP"
"ENSG00000236700","ENSG00000236700",2.37171734247525,0.000279924001560771,5.09919228632178,2.15,10.95,134343307,134504581,"UP"
"ENSG00000236360","ENSG00000236360",2.13801128602311,0.000958011292887868,5.02432652215431,2.35,8.95,52993201,52993702,"UP"
"ENSG00000233338","ENSG00000233338",4.1537301082357,4.63801149106714e-10,4.98447612988284,1.2,18.7,12902817,12908333,"UP"
"ENSG00000225548","ENSG00000225548",2.13151162849012,0.00158832622721176,4.90247674552728,2.3,11.35,27797552,27931579,"UP"
"ENSG00000242221","ENSG00000242221",1.99700102668963,0.00349823864520188,4.89265251538959,2.45,7.35,43064209,43083045,"UP"
"ENSG00000205097","ENSG00000205097",3.23666086613496,4.00383693279352e-07,4.85499129920244,1.5,15.25,190024367,190027257,"UP"
"ENSG00000204283","ENSG00000204283",2.23684658318628,0.00124755511199889,4.8092201538505,2.15,12.45,77877330,77884119,"UP"
"ENSG00000261520","ENSG00000261520",6.72412242288169,3.0477074766697e-21,4.70688569601719,0.7,85.35,4264602,4295405,"UP"
"ENSG00000120436","ENSG00000120436",2.22272160774027,0.000789299607718628,4.66771537625457,2.1,11,167155247,167157980,"UP"
"ENSG00000187021","ENSG00000187021",2.71413901168511,3.3419678035849e-05,4.47832936928044,1.65,11.25,116590385,116609175,"UP"
"ENSG00000287590","ENSG00000287590",1.98810405901448,0.00444302680168153,4.47323413278258,2.25,6.4,30279549,30281455,"UP"
"ENSG00000204876","ENSG00000204876",1.89632918568078,0.00494406934796997,4.45637358634984,2.35,7.25,155962632,155966343,"UP"
"ENSG00000184106","ENSG00000184106",2.13155412801521,0.00206081621976267,4.36968596243119,2.05,9.65,41208713,41217947,"UP"
"ENSG00000234710","ENSG00000234710",4.23053192868673,3.15252272554349e-10,4.23053192868673,1,19.1,9621764,9769513,"UP"
"ENSG00000223542","ENSG00000223542",2.27819238618808,0.000654602338318034,4.21465591444794,1.85,8.85,133435077,133439464,"UP"
"ENSG00000258053","ENSG00000258053",4.91986704977038,3.85304621658063e-13,4.18188699230482,0.85,27.9,71047402,71118247,"UP"
"ENSG00000235535","ENSG00000235535",4.38108140497646,5.92547042240183e-11,4.16202733472764,0.95,20.9,123389421,123510247,"UP"
"ENSG00000111704","ENSG00000111704",3.57973428157162,6.8411465811984e-08,4.11669442380737,1.15,14.15,7787794,7799146,"UP"
"ENSG00000233503","ENSG00000233503",2.48038934891084,0.000220750499453565,4.09264242570289,1.65,9.55,7481094,7482594,"UP"
"ENSG00000267284","ENSG00000267284",2.45633841541782,0.000202527674956006,4.05295838543941,1.65,9.25,55589904,55839184,"UP"
"ENSG00000187229","ENSG00000187229",3.23214763049892,1.00973814103467e-06,4.04018453812365,1.25,11.75,18720905,18734405,"UP"
"ENSG00000196620","ENSG00000196620",3.34686118118721,5.83540058513251e-07,4.01623341742465,1.2,14.35,68646597,68670652,"UP"
"ENSG00000162594","ENSG00000162594",5.2776540192364,2.67676832411029e-14,3.9582405144273,0.75,34.1,67138907,67259979,"UP"
"ENSG00000227531","ENSG00000227531",2.07322760389452,0.00283390129705836,3.93913244739958,1.9,9.05,111139246,111284836,"UP"
"ENSG00000152595","ENSG00000152595",3.56700074919301,6.00045131370327e-08,3.92370082411231,1.1,13,87821411,87846817,"UP"
"ENSG00000231171","ENSG00000231171",4.33203344757905,1.02577229626019e-10,3.89883010282115,0.9,24,177728757,178028971,"UP"
"ENSG00000149635","ENSG00000149635",2.8572417021703,1.71078075574866e-05,3.85727629792991,1.35,10.1,46540946,46550654,"UP"
"ENSG00000233868","ENSG00000233868",2.31295589347997,0.00084473930361709,3.81637722424195,1.65,8.25,221944223,221944612,"UP"
"ENSG00000273119","ENSG00000273119",2.11655322276892,0.00238280091236767,3.80979580098405,1.8,9.1,11390033,11390729,"UP"
"ENSG00000178522","ENSG00000178522",5.43203908550287,1.50846595497957e-15,3.80242735985201,0.7,28.1,70592256,70607288,"UP"
"ENSG00000286122","ENSG00000286122",2.80913798143177,2.14570177866784e-05,3.79233627493289,1.35,8.45,125648327,126008930,"UP"
"ENSG00000226004","ENSG00000226004",2.42933198975105,0.000334543755498255,3.76546458411412,1.55,9.7,137943079,137945802,"UP"
"ENSG00000287021","ENSG00000287021",3.26389199507902,7.54654642187654e-07,3.75347579434087,1.15,13.35,127532828,127623803,"UP"
"ENSG00000237271","ENSG00000237271",2.57147907943991,0.000100281789894303,3.72864466518787,1.45,7.8,204219984,204234985,"UP"
"ENSG00000286134","ENSG00000286134",2.40281450535243,0.000245709630149445,3.72436248329627,1.55,6.65,24135160,24271863,"UP"
"ENSG00000254750","ENSG00000254750",2.06566675535906,0.00258789526344127,3.7182001596463,1.8,7.4,105063345,105071541,"UP"
"ENSG00000267650","ENSG00000267650",2.53834775597365,0.000181921021061693,3.68060424616179,1.45,9,9995997,9997163,"UP"
"ENSG00000287364","ENSG00000287364",2.290394730534,0.000693719455857512,3.6646315688544,1.6,7.4,195747024,195763501,"UP"
"ENSG00000237254","ENSG00000237254",2.02353994793972,0.00324204007329914,3.64237190629149,1.8,7.4,142812586,142813399,"UP"
"ENSG00000234515","ENSG00000234515",2.51125232705016,0.000224830878678565,3.64131587422274,1.45,9.1,32879171,32879848,"UP"
"ENSG00000280345","ENSG00000280345",2.18636921038152,0.00164534722624455,3.60750919712951,1.65,8.7,8631545,8632259,"UP"
"ENSG00000211807","ENSG00000211807",2.56378944684398,0.000103402201055441,3.58930522558157,1.4,8.45,22123318,22124285,"UP"
"ENSG00000187893","ENSG00000187893",1.99088199053991,0.00494406934796997,3.58358758297184,1.8,7.65,47707191,47753456,"UP"
"ENSG00000236854","ENSG00000236854",2.83340894619457,3.14780737204781e-05,3.54176118274321,1.25,8.8,32927085,32946149,"UP"
"ENSG00000242580","ENSG00000242580",1.9584013765063,0.00468723190758215,3.52512247771133,1.8,8.05,90209873,90210529,"UP"
"ENSG00000166211","ENSG00000166211",2.13100576827682,0.00189988802674196,3.51615951765676,1.65,8.4,101475336,101486997,"UP"
"ENSG00000287101","ENSG00000287101",3.33902264807808,4.44378533933179e-07,3.50597378048198,1.05,9,127228519,127352379,"UP"
"ENSG00000261780","ENSG00000261780",5.80509568411716,6.08791094333116e-17,3.4830574104703,0.6,39.5,73324941,73349879,"UP"
"ENSG00000178795","ENSG00000178795",2.47720633016677,0.000236980940276371,3.46808886223348,1.4,7.85,77216558,77301687,"UP"
"ENSG00000278998","ENSG00000278998",2.30499682176609,0.000588738346502017,3.45749523264913,1.5,6.75,155222903,155223851,"UP"
"ENSG00000251244","ENSG00000251244",2.52280056063725,0.000197293198022763,3.40578075686029,1.35,7.8,155496110,155520353,"UP"
"ENSG00000166736","ENSG00000166736",2.33339055589267,0.000798686616495247,3.38341630604438,1.45,7.4,113974881,113990313,"UP"
"ENSG00000253163","ENSG00000253163",2.48688107046801,0.000197293198022763,3.35728944513181,1.35,8,179377531,179378761,"UP"
"ENSG00000287611","ENSG00000287611",2.62648095982259,8.41056592138147e-05,3.28310119977824,1.25,8.25,24500399,24508133,"UP"
"ENSG00000213892","ENSG00000213892",2.95300971301232,1.14844399637507e-05,3.24831068431355,1.1,9.25,44699151,44710718,"UP"
"ENSG00000250921","ENSG00000250921",3.21831201296832,1.66421225816813e-06,3.21831201296832,1,8.2,4135638,4147429,"UP"
"ENSG00000285987","ENSG00000285987",3.05322651720992,3.79295699652036e-06,3.20588784307042,1.05,9.35,84316514,84657077,"UP"
"ENSG00000248771","ENSG00000248771",3.36308848391391,3.70227556194647e-07,3.19493405971822,0.95,10.65,164754064,164803795,"UP"
"ENSG00000251443","ENSG00000251443",3.1521852287699,2.18163742042467e-06,3.1521852287699,1,8.1,33229516,33284642,"UP"
"ENSG00000237643","ENSG00000237643",4.17020232474148,5.42168084232718e-10,3.12765174355611,0.75,12.55,70394881,70403117,"UP"
"ENSG00000287478","ENSG00000287478",5.66680743634017,8.14208190833773e-16,3.11674408998709,0.55,41.45,55607852,55744938,"UP"
"ENSG00000233997","ENSG00000233997",6.90242389566558,1.95290995566652e-21,3.10609075304951,0.45,66.6,21746973,21797415,"UP"
"ENSG00000250697","ENSG00000250697",2.14113090009201,0.00198772640134011,3.10463980513342,1.45,5.25,32888236,33298066,"UP"
"ENSG00000203783","ENSG00000203783",2.56878306153072,7.72578002265786e-05,3.08253967383686,1.2,7.15,153217584,153219310,"UP"
"ENSG00000248131","ENSG00000248131",3.42275641457063,5.01470412511675e-07,3.08048077311357,0.9,9.95,12574830,12804363,"UP"
"ENSG00000286607","ENSG00000286607",2.26784480648326,0.000836397124637162,3.0615904887524,1.35,7,91264903,91266666,"UP"
"ENSG00000232524","ENSG00000232524",2.9024858930093,1.51327205407636e-05,3.04761018765977,1.05,7.85,123456629,123459856,"UP"
"ENSG00000286536","ENSG00000286536",2.17248442725473,0.00148868264223596,3.04147819815662,1.4,7.05,105025932,105239221,"UP"
"ENSG00000245662","ENSG00000245662",2.2138990925652,0.00139072419471586,2.98876377496303,1.35,6.05,25187800,25324386,"UP"
"ENSG00000286461","ENSG00000286461",3.32020717001523,2.90488024074888e-06,2.98818645301371,0.9,12.85,154544169,154547285,"UP"
"ENSG00000136297","ENSG00000136297",3.86112026954507,2.04831606045006e-08,2.8958402021588,0.75,11.15,4905989,4959213,"UP"
"ENSG00000269289","ENSG00000269289",2.31291168183129,0.000972611540261894,2.89113960228911,1.25,6.2,23919081,23958035,"UP"
"ENSG00000272446","ENSG00000272446",2.50864663180768,0.000301700473093349,2.88494362657883,1.15,6.9,139159157,139277181,"UP"
"ENSG00000286538","ENSG00000286538",4.10002155456918,2.85366427573037e-09,2.87001508819842,0.7,14.55,29838532,29841818,"UP"
"ENSG00000228020","ENSG00000228020",2.85036666113228,2.6074816860219e-05,2.85036666113228,1,7.6,191146025,191146961,"UP"
"ENSG00000176566","ENSG00000176566",3.15094123972702,4.02143266290315e-06,2.83584711575432,0.9,10.75,87870747,87874015,"UP"
"ENSG00000255221","ENSG00000255221",2.10012488279979,0.00315684477838284,2.83516859177972,1.35,5.9,105092469,105101431,"UP"
"ENSG00000257741","ENSG00000257741",3.31826097361742,7.02518259139995e-07,2.82052182757481,0.85,8.85,80763151,80770717,"UP"
"ENSG00000253877","ENSG00000253877",4.63493170708254,3.81735293868461e-11,2.78095902424952,0.6,17.6,110899996,111040372,"UP"
"ENSG00000203825","ENSG00000203825",4.23993489822887,4.25300030252766e-10,2.75595768384876,0.65,16.4,143541768,143572834,"UP"
"ENSG00000287227","ENSG00000287227",3.225566834221,9.90427533121327e-07,2.74173180908785,0.85,8.45,26244640,26269415,"UP"
"ENSG00000215089","ENSG00000215089",3.03552541730278,1.06403330546155e-05,2.7319728755725,0.9,8.15,92459670,92460952,"UP"
"ENSG00000236719","ENSG00000236719",2.85330720072161,2.43169176641679e-05,2.71064184068553,0.95,7.9,180509380,180566523,"UP"
"ENSG00000255192","ENSG00000255192",2.07861808127573,0.00465458256169586,2.70220350565845,1.3,5.85,35083410,35085295,"UP"
